,map_id
2577,R318022
2578,R301063
2579,R301021
2580,R301039
2581,R301029
2582,R301040
2583,R301028
2584,R16247
2585,R301024
2586,R301038
2587,R301037
2588,R300989
2589,R300993
2590,R300988
2591,R300987
2592,R300502
2593,R300982
2594,R300974
2595,R300778
2596,R300966
2597,R300768
2598,R300984
2600,R16042
2601,R300518
2602,R300765
2603,R300824
2604,R300884
2605,R300853
2609,R16337
2611,R15915
2614,R15254
2617,R15899
2619,R61957
2621,R62977
2622,R63345
2623,R62644
2625,R16319
2626,R16276
2628,R61741
2629,R61900
2630,R62632
2631,R16263
2632,R16294
2633,R15839
2634,R313926
2635,R15784
2637,R16243
2639,R16249
2641,R16232
2644,R15759
2645,R16229
2646,R15806
2647,R16221
2648,R16224
2649,R16227
2650,R15814
2653,R15743
2654,R15118
2655,R15103
2656,R15798
2657,R16215
2658,R15100
2660,R63302
2661,R16148
2665,R11222
2677,R10129
2680,R16117
2682,R15020
2683,R15032
2684,R16080
2685,R15581
2686,R15577
2688,R61704
2689,R15542
2690,R60050
2691,R58853
2692,R58842
2694,R15516
2695,R14959
2696,R62625
2698,R14963
2699,R58756
2700,R58744
2701,R58741
2702,R15507
2703,R10676
2704,R15496
2705,R58750
2706,R14941
2707,R15504
2708,R61492
2709,R62439
2710,R14918
2711,R15482
2712,R62402
2713,R14888
2714,R62252
2715,R62230
2716,R60989
2718,R15918
2719,R61141
2720,R10686
2721,R15630
2722,R62158
2723,R61306
2725,R60910
2726,R15429
2728,R14720
2729,R14708
2730,R313975
2732,R15123
2733,R15184
2734,R15162
2735,R14652
2737,R307076
2738,R14711
2739,R15569
2740,R10005
2742,R15102
2743,R14666
2746,R15091
2748,R14618
2751,R15444
2753,R14620
2754,R15086
2755,R15053
2757,R320466
2758,R14614
2759,R317147
2761,R15427
2762,R59993
2764,R317148
2765,R58800
2766,R58695
2767,R59989
2768,R317152
2769,R60137
2770,R58780
2771,R10685
2772,R15065
2773,R60906
2774,R60902
2775,R15393
2776,R321534
2777,R15397
2778,R15401
2779,R15910
2780,R60447
2781,R318793
2782,R62175
2783,R60662
2784,R322993
2785,R63304
2786,R15887
2787,R62109
2788,R62859
2789,R60378
2790,R62036
2791,R15363
2792,R14833
2793,R61516
2794,R61833
2795,R60430
2796,R61600
2797,R15849
2798,R11537
2799,R15370
2800,R15853
2801,R15329
2802,R59971
2803,R61959
2804,R14797
2805,R63459
2806,R15340
2807,R14814
2808,R15275
2809,R59734
2810,R58767
2811,R15797
2812,R59892
2813,R59980
2814,R59794
2815,R59696
2816,R15300
2817,R14796
2818,R15793
2819,R60080
2820,R58641
2821,R59964
2822,R58636
2823,R323854
2824,R60085
2825,R59960
2826,R58757
2827,R59908
2828,R15404
2829,R58722
2830,R58625
2831,R59900
2832,R58740
2833,R59894
2834,R60001
2835,R58577
2836,R60005
2837,R58706
2838,R14600
2839,R58693
2840,R15040
2841,R58565
2842,R15396
2843,R15038
2844,R59970
